Gene	Organism	Experiment Accession	Comparison	log2foldchange	pValue	tStatistics
ENSG00000169245	homo sapiens	E-GEOD-18791	'Newcastle disease virus' at '16 hour' vs 'none' at '0 hour'	9.5	0.0000324348191176708	29.2840519766947
ENSG00000169248	homo sapiens	E-GEOD-18791	'Newcastle disease virus' at '18 hour' vs 'none' at '0 hour'	9.4	0.000295646966373877	25.7262252276486
ENSG00000183709	homo sapiens	E-GEOD-18791	'Newcastle disease virus' at '18 hour' vs 'none' at '0 hour'	9.4	0.000246905438940919	32.3394537893182
ENSG00000169245	homo sapiens	E-GEOD-18791	'Newcastle disease virus' at '8 hour' vs 'none' at '0 hour'	9.3	0.000125858986339432	25.362903963797
ENSG00000171855	homo sapiens	E-GEOD-18791	'Newcastle disease virus' at '12 hour' vs 'none' at '0 hour'	9.2	0.0000146479254153322	28.7965440401991
ENSG00000183709	homo sapiens	E-GEOD-18791	'Newcastle disease virus' at '16 hour' vs 'none' at '0 hour'	9.2	0.0000185664246264958	32.786439170862
ENSG00000183709	homo sapiens	E-GEOD-18791	'Newcastle disease virus' at '14 hour' vs 'none' at '0 hour'	9.2	0.0000287912332373266	31.1876403244556
ENSG00000169248	homo sapiens	E-GEOD-18791	'Newcastle disease virus' at '8 hour' vs 'none' at '0 hour'	9.1	0.000167564197592753	22.529551674705
ENSG00000183709	homo sapiens	E-GEOD-18791	'Newcastle disease virus' at '12 hour' vs 'none' at '0 hour'	9.1	0.00000295901462291436	43.2789802139807
ENSG00000118785	homo sapiens	E-GEOD-22522	'Kaposi's sarcoma-associated herpesvirus' vs 'uninfected control'	9.1	0.00000278021196331481	44.2305836263671
ENSG00000171855	homo sapiens	E-GEOD-18791	'Newcastle disease virus' at '10 hour' vs 'none' at '0 hour'	9	0.0000262528714829735	25.2007234465615
ENSG00000169245	homo sapiens	E-GEOD-18791	'Newcastle disease virus' at '6 hour' vs 'none' at '6 hour'	9	0.00026570877236	16.9659578742443
ENSG00000171855	homo sapiens	E-GEOD-18791	'Newcastle disease virus' at '14 hour' vs 'none' at '0 hour'	8.9	0.0000823451652091836	19.0178545836006
ENSG00000185745	homo sapiens	E-GEOD-13637	'H5N1 influenza virus' vs 'none' in 'wild type'	8.9	1.00292119143999e-8	45.7644869469562
ENSG00000188379	homo sapiens	E-GEOD-18791	'Newcastle disease virus' at '12 hour' vs 'none' at '0 hour'	8.9	0.0000338206227519866	23.9354991555525
ENSG00000188379	homo sapiens	E-GEOD-18791	'Newcastle disease virus' at '14 hour' vs 'none' at '0 hour'	8.9	0.000120814341164304	16.0582598484144
ENSG00000169245	homo sapiens	E-GEOD-18791	'Newcastle disease virus' at '6 hour' vs 'none' at '0 hour'	8.8	0.000487904669782393	15.0534801243896
ENSG00000169248	homo sapiens	E-GEOD-13637	'PR8 influenza virus' vs 'none' in 'wild type'	8.8	1.0196193747261e-7	28.0311426148896
ENSG00000188379	homo sapiens	E-GEOD-18791	'Newcastle disease virus' at '16 hour' vs 'none' at '0 hour'	8.8	0.000171295225977321	15.3299476345534
ENSG00000119922	homo sapiens	E-GEOD-13637	'PR8 influenza virus' vs 'none' in 'wild type'	8.7	5.9372981306762e-10	58.792158078688
ENSG00000137959	homo sapiens	E-GEOD-31193	'24 hour, IL28B' vs 'none'	8.6	1.32983820813936e-8	47.306122596848
ENSG00000169245	homo sapiens	E-GEOD-31193	'24 hour, IL28B' vs 'none'	8.6	8.48159361550661e-9	52.066820633547
ENSG00000171855	homo sapiens	E-GEOD-18791	'Newcastle disease virus' at '16 hour' vs 'none' at '0 hour'	8.6	0.000104964479434758	18.1468471594821
ENSG00000171855	homo sapiens	E-GEOD-18791	'Newcastle disease virus' at '10 hour' vs 'none' at '10 hour'	8.6	0.0000295724078852004	22.2199108123915
ENSG00000119917	homo sapiens	E-GEOD-13637	'PR8 influenza virus' vs 'none' in 'wild type'	8.6	4.06902308284935e-10	64.3784681531573
ENSG00000271503	homo sapiens	E-GEOD-13637	'PR8 influenza virus' vs 'none' in 'wild type'	8.6	4.33143606947456e-10	62.7132641054513
ENSG00000134321	homo sapiens	E-GEOD-18791	'Newcastle disease virus' at '10 hour' vs 'none' at '0 hour'	8.5	0.000120586598769337	15.8796801070602
ENSG00000134321	homo sapiens	E-GEOD-13637	'PR8 influenza virus' vs 'none' in 'wild type'	8.5	4.06902308284935e-10	64.5660803166594
ENSG00000169245	homo sapiens	E-MEXP-1274	'Influenza A virus; wild type' vs 'none; wild type'	8.5	1.83401710278262e-9	68.1230874128415
ENSG00000120242	homo sapiens	E-GEOD-18791	'Newcastle disease virus' at '12 hour' vs 'none' at '0 hour'	8.4	0.0000181549046964788	27.3839740907007
ENSG00000134321	homo sapiens	E-GEOD-18791	'Newcastle disease virus' at '12 hour' vs 'none' at '0 hour'	8.4	0.000138973163346437	16.0320843154386
ENSG00000120242	homo sapiens	E-GEOD-18791	'Newcastle disease virus' at '16 hour' vs 'none' at '0 hour'	8.4	0.0000623112212696895	23.4750896993581
ENSG00000137959	homo sapiens	E-GEOD-18791	'Newcastle disease virus' at '12 hour' vs 'none' at '0 hour'	8.4	0.00000295901462291436	45.3168068428262
ENSG00000183709	homo sapiens	E-GEOD-18791	'Newcastle disease virus' at '10 hour' vs 'none' at '0 hour'	8.4	0.00000819666021632907	32.4836357412756
ENSG00000120242	homo sapiens	E-GEOD-18791	'Newcastle disease virus' at '14 hour' vs 'none' at '0 hour'	8.3	0.0000606964580119202	23.1974789112284
ENSG00000134321	homo sapiens	E-GEOD-18791	'Newcastle disease virus' at '16 hour' vs 'none' at '0 hour'	8.3	0.000171295225977321	15.3907299204491
ENSG00000134321	homo sapiens	E-GEOD-18791	'Newcastle disease virus' at '18 hour' vs 'none' at '0 hour'	8.3	0.00117101736265537	12.9207137965023
ENSG00000183709	homo sapiens	E-GEOD-18791	'Newcastle disease virus' at '10 hour' vs 'none' at '10 hour'	8.3	0.0000137370473765401	29.7719624183085
ENSG00000197919	homo sapiens	E-GEOD-18791	'Newcastle disease virus' at '8 hour' vs 'none' at '0 hour'	8.3	0.000726831639240231	12.0168516561425
ENSG00000134321	homo sapiens	E-GEOD-18791	'Newcastle disease virus' at '6 hour' vs 'none' at '0 hour'	8.2	0.000551544978295518	14.5219718254714
ENSG00000134321	homo sapiens	E-GEOD-18791	'Newcastle disease virus' at '8 hour' vs 'none' at '0 hour'	8.2	0.000488778387467209	13.9487925480851
ENSG00000137959	homo sapiens	E-GEOD-18791	'Newcastle disease virus' at '16 hour' vs 'none' at '0 hour'	8.2	0.00000540228395248338	46.55825443588
ENSG00000134321	homo sapiens	E-GEOD-18791	'Newcastle disease virus' at '14 hour' vs 'none' at '0 hour'	8.2	0.000186845682748433	13.8177950837806
ENSG00000172183	homo sapiens	E-GEOD-18791	'Newcastle disease virus' at '16 hour' vs 'none' at '0 hour'	8.2	0.0000453479940730981	25.2905198280455
ENSG00000137959	homo sapiens	E-GEOD-18791	'Newcastle disease virus' at '10 hour' vs 'none' at '0 hour'	8.2	0.00000821864535485863	32.0522094615983
ENSG00000137959	homo sapiens	E-GEOD-18791	'Newcastle disease virus' at '14 hour' vs 'none' at '0 hour'	8.2	0.0000247405244528883	33.1251045591104
ENSG00000135114	homo sapiens	E-GEOD-13637	'PR8 influenza virus' vs 'none' in 'wild type'	8.2	5.66589661116625e-9	44.3924771125799
ENSG00000134321	homo sapiens	E-MEXP-1274	'Influenza A virus; dominant negative TLR3' vs 'none; dominant negative TLR3'	8.2	1.89952366137769e-7	29.4629598857776
ENSG00000131203	homo sapiens	E-GEOD-18791	'Newcastle disease virus' at '16 hour' vs 'none' at '0 hour'	8.1	0.0000862934933626967	20.3807527743905
ENSG00000137959	homo sapiens	E-GEOD-18791	'Newcastle disease virus' at '10 hour' vs 'none' at '10 hour'	8.1	0.0000289181270350602	22.7534872389028
ENSG00000131203	homo sapiens	E-GEOD-18791	'Newcastle disease virus' at '14 hour' vs 'none' at '0 hour'	8.1	0.0000606964580119202	21.7932982502846
ENSG00000185745	homo sapiens	E-GEOD-18791	'Newcastle disease virus' at '10 hour' vs 'none' at '10 hour'	8.1	0.000107048686991175	16.5376539271493
ENSG00000073756	homo sapiens	E-GEOD-18791	'Newcastle disease virus' at '14 hour' vs 'none' at '0 hour'	8.1	0.0000606964580119202	23.9661306389855
ENSG00000172183	homo sapiens	E-GEOD-18791	'Newcastle disease virus' at '14 hour' vs 'none' at '0 hour'	8.1	0.0000616674062359937	21.4538622817887
ENSG00000073756	homo sapiens	E-GEOD-18791	'Newcastle disease virus' at '12 hour' vs 'none' at '0 hour'	8.1	0.00002063719802547	26.2237437877367
ENSG00000169248	homo sapiens	E-MEXP-1274	'Influenza A virus; wild type' vs 'none; wild type'	8.1	1.83401710278262e-9	61.7970689409245
ENSG00000134321	homo sapiens	E-GEOD-18791	'Newcastle disease virus' at '10 hour' vs 'none' at '10 hour'	8	0.0000289181270350602	22.6035701296721
ENSG00000131979	homo sapiens	E-GEOD-18791	'Newcastle disease virus' at '10 hour' vs 'none' at '10 hour'	8	0.00000993500549450156	32.0863205729669
ENSG00000131203	homo sapiens	E-GEOD-18791	'Newcastle disease virus' at '12 hour' vs 'none' at '0 hour'	8	0.0000459977196017731	21.376946595793
ENSG00000073756	homo sapiens	E-GEOD-18791	'Newcastle disease virus' at '16 hour' vs 'none' at '0 hour'	8	0.0000390794313273159	26.4272539740806
ENSG00000134321	homo sapiens	E-GEOD-13637	'PR8 influenza virus' vs 'none' in 'wild type'	8	5.66589661116625e-9	44.2029453613033
ENSG00000185745	homo sapiens	E-GEOD-18791	'Newcastle disease virus' at '6 hour' vs 'none' at '6 hour'	8	0.000222960448483277	18.7488614976172
ENSG00000169245	homo sapiens	E-GEOD-18816	'highly pathogenic avian influenza H5N1 virus' at '6 hour' vs 'none' at '6 hour'	8	0.00092419742543996	17.8925037418232
ENSG00000169245	homo sapiens	E-GEOD-31193	'6 hour; IFN' vs 'none'	7.9	5.8074961348469e-9	50.9251032852664
ENSG00000137959	homo sapiens	E-GEOD-18791	'Newcastle disease virus' at '18 hour' vs 'none' at '0 hour'	7.9	0.0000123958111647113	70.4745265974288
ENSG00000172183	homo sapiens	E-GEOD-18791	'Newcastle disease virus' at '12 hour' vs 'none' at '0 hour'	7.9	0.0000459977196017731	21.3718873498761
ENSG00000172183	homo sapiens	E-GEOD-18791	'Newcastle disease virus' at '18 hour' vs 'none' at '0 hour'	7.9	0.000544662725527914	19.045434962151
ENSG00000147873	homo sapiens	E-GEOD-18791	'Newcastle disease virus' at '14 hour' vs 'none' at '0 hour'	7.9	0.00018111604864105	14.045724159542
ENSG00000138755	homo sapiens	E-GEOD-18791	'Newcastle disease virus' at '18 hour' vs 'none' at '0 hour'	7.9	0.000246905438940919	31.0970969816949
ENSG00000171855	homo sapiens	E-GEOD-18791	'Newcastle disease virus' at '18 hour' vs 'none' at '0 hour'	7.9	0.0011245446414988	13.4276329633716
ENSG00000188379	homo sapiens	E-GEOD-18791	'Newcastle disease virus' at '10 hour' vs 'none' at '10 hour'	7.9	0.000209846028871332	14.410047517207
ENSG00000119922	homo sapiens	E-GEOD-18791	'Newcastle disease virus' at '10 hour' vs 'none' at '10 hour'	7.9	0.0000289181270350602	22.5082056195618
ENSG00000119922	homo sapiens	E-GEOD-18791	'Newcastle disease virus' at '12 hour' vs 'none' at '0 hour'	7.9	0.0000135407720470417	29.5492189039883
ENSG00000188379	homo sapiens	E-GEOD-18791	'Newcastle disease virus' at '10 hour' vs 'none' at '0 hour'	7.9	0.000198133245127645	14.2376412330129
ENSG00000188379	homo sapiens	E-GEOD-18791	'Newcastle disease virus' at '18 hour' vs 'none' at '0 hour'	7.9	0.000777374698479203	15.7185926042607
ENSG00000134321	homo sapiens	E-MEXP-1274	'Influenza A virus; wild type' vs 'none; wild type'	7.9	0.00000119857267050318	20.2081834740593
ENSG00000134321	homo sapiens	E-GEOD-31193	'24 hour, IL28B' vs 'none'	7.8	7.19781285641678e-9	59.9361600706479
ENSG00000147873	homo sapiens	E-GEOD-18791	'Newcastle disease virus' at '16 hour' vs 'none' at '0 hour'	7.8	0.000162222894877682	15.728702900944
ENSG00000120242	homo sapiens	E-GEOD-18791	'Newcastle disease virus' at '18 hour' vs 'none' at '0 hour'	7.8	0.000327643924652338	24.0425481530732
ENSG00000121858	homo sapiens	E-GEOD-18791	'Newcastle disease virus' at '10 hour' vs 'none' at '10 hour'	7.8	0.0000372631197179522	21.1686750731244
ENSG00000169248	homo sapiens	E-GEOD-18791	'Newcastle disease virus' at '6 hour' vs 'none' at '6 hour'	7.8	0.00242904812771739	9.55538132605096
ENSG00000138646	homo sapiens	E-GEOD-18791	'Newcastle disease virus' at '18 hour' vs 'none' at '0 hour'	7.8	0.000652649311982213	17.1647380583614
ENSG00000138755	homo sapiens	E-GEOD-18791	'Newcastle disease virus' at '16 hour' vs 'none' at '0 hour'	7.8	0.0000210333105198413	31.6258226323447
ENSG00000169245	homo sapiens	E-GEOD-13637	'H5N1 influenza virus' vs 'none' in 'wild type'	7.8	3.43550009308549e-8	39.1277062169413
ENSG00000185745	homo sapiens	E-GEOD-13637	'influenza A virus' vs 'none' in 'wild type'	7.8	1.55576672810213e-7	35.914614416544
ENSG00000169245	homo sapiens	E-MEXP-1274	'Influenza A virus; dominant negative TLR3' vs 'none; dominant negative TLR3'	7.8	4.89910031396489e-7	23.7731707568373
ENSG00000147873	homo sapiens	E-GEOD-18791	'Newcastle disease virus' at '12 hour' vs 'none' at '0 hour'	7.7	0.000159953515613803	15.2328413244289
ENSG00000120242	homo sapiens	E-GEOD-18791	'Newcastle disease virus' at '10 hour' vs 'none' at '0 hour'	7.7	0.0000846936277378922	17.575204058648
ENSG00000137959	homo sapiens	E-GEOD-18791	'Newcastle disease virus' at '8 hour' vs 'none' at '0 hour'	7.7	0.0000851318783027646	32.4155855909178
ENSG00000169248	homo sapiens	E-GEOD-18791	'Newcastle disease virus' at '6 hour' vs 'none' at '0 hour'	7.7	0.00269992855170859	9.35572322854383
ENSG00000138646	homo sapiens	E-GEOD-18791	'Newcastle disease virus' at '12 hour' vs 'none' at '0 hour'	7.7	0.0000554077369299868	20.0732015484514
ENSG00000138646	homo sapiens	E-GEOD-18791	'Newcastle disease virus' at '16 hour' vs 'none' at '0 hour'	7.7	0.00010106737181433	18.5915651538875
ENSG00000138755	homo sapiens	E-GEOD-18791	'Newcastle disease virus' at '12 hour' vs 'none' at '0 hour'	7.7	0.000019174875975747	26.8487968052935
ENSG00000138755	homo sapiens	E-GEOD-18791	'Newcastle disease virus' at '14 hour' vs 'none' at '0 hour'	7.7	0.00000873175039095001	47.0815381153338
ENSG00000135114	homo sapiens	E-GEOD-13637	'PR8 influenza virus' vs 'none' in 'wild type'	7.7	1.45301791540515e-8	36.7683060766787
ENSG00000185745	homo sapiens	E-GEOD-18791	'Newcastle disease virus' at '10 hour' vs 'none' at '0 hour'	7.7	0.000189535338528874	14.3507853917534
ENSG00000119922	homo sapiens	E-GEOD-18791	'Newcastle disease virus' at '14 hour' vs 'none' at '0 hour'	7.7	0.0000606964580119202	22.3204243754326
ENSG00000119922	homo sapiens	E-GEOD-18791	'Newcastle disease virus' at '16 hour' vs 'none' at '0 hour'	7.7	0.0000629934739205859	23.2614069652287
ENSG00000119922	homo sapiens	E-GEOD-18791	'Newcastle disease virus' at '10 hour' vs 'none' at '0 hour'	7.7	0.0000196325351435082	26.7166036680024
ENSG00000121858	homo sapiens	E-MEXP-1274	'Influenza A virus; wild type' vs 'none; wild type'	7.7	1.00479192379878e-8	45.8636270470776
ENSG00000120242	homo sapiens	E-GEOD-18791	'Newcastle disease virus' at '10 hour' vs 'none' at '10 hour'	7.6	0.0000845244653404697	17.5355056809515
ENSG00000121858	homo sapiens	E-GEOD-18791	'Newcastle disease virus' at '10 hour' vs 'none' at '0 hour'	7.6	0.0000491066363379141	20.38961958397
ENSG00000134321	homo sapiens	E-GEOD-18791	'Newcastle disease virus' at '10 hour' vs 'none' at '0 hour'	7.6	0.0000416348528298848	21.6881829789497
ENSG00000134321	homo sapiens	E-GEOD-18791	'Newcastle disease virus' at '12 hour' vs 'none' at '0 hour'	7.6	0.0000459977196017731	21.2737429390885
ENSG00000138646	homo sapiens	E-GEOD-18791	'Newcastle disease virus' at '10 hour' vs 'none' at '0 hour'	7.6	0.0000499726466727831	20.0746278710563
ENSG00000138646	homo sapiens	E-GEOD-18791	'Newcastle disease virus' at '14 hour' vs 'none' at '0 hour'	7.6	0.000112051402404884	16.6509475390806
ENSG00000185745	homo sapiens	E-GEOD-18791	'Newcastle disease virus' at '12 hour' vs 'none' at '0 hour'	7.6	0.000184844041457754	14.7095489071378
ENSG00000271503	homo sapiens	E-GEOD-18791	'Newcastle disease virus' at '18 hour' vs 'none' at '0 hour'	7.6	0.00196262576665399	10.1901041122399
ENSG00000177047	homo sapiens	E-GEOD-18791	'Newcastle disease virus' at '12 hour' vs 'none' at '0 hour'	7.6	0.00003166044912832	24.2679778426092
ENSG00000134326	homo sapiens	E-GEOD-13637	'PR8 influenza virus' vs 'none' in 'wild type'	7.6	4.06902308284935e-10	69.9994404359433
ENSG00000157601	homo sapiens	E-GEOD-13637	'PR8 influenza virus' vs 'none' in 'wild type'	7.6	1.05514482953214e-8	39.1424886986784
ENSG00000121858	homo sapiens	E-MEXP-1274	'Influenza A virus; wild type' vs 'none; wild type'	7.6	1.00005586970112e-8	48.2353163862908
ENSG00000134321	homo sapiens	E-GEOD-18791	'Newcastle disease virus' at '8 hour' vs 'none' at '0 hour'	7.5	0.000362639132822	16.7210339618086
ENSG00000121858	homo sapiens	E-GEOD-18791	'Newcastle disease virus' at '12 hour' vs 'none' at '0 hour'	7.5	0.0000773826039686009	18.5984897049057
ENSG00000137959	homo sapiens	E-GEOD-18791	'Newcastle disease virus' at '6 hour' vs 'none' at '6 hour'	7.5	0.000222960448483277	24.2690778073846
ENSG00000138755	homo sapiens	E-GEOD-18791	'Newcastle disease virus' at '10 hour' vs 'none' at '0 hour'	7.5	0.0000434418409112792	21.4578600131984
ENSG00000138646	homo sapiens	E-GEOD-18791	'Newcastle disease virus' at '10 hour' vs 'none' at '10 hour'	7.5	0.0000241956826583152	24.7473778739799
ENSG00000171855	homo sapiens	E-GEOD-18791	'Newcastle disease virus' at '8 hour' vs 'none' at '0 hour'	7.5	0.000743380127627319	11.864905318184
ENSG00000121858	homo sapiens	E-GEOD-18791	'Newcastle disease virus' at '10 hour' vs 'none' at '0 hour'	7.5	0.0000704504924739037	18.2444198657428
ENSG00000073756	homo sapiens	E-GEOD-18791	'Newcastle disease virus' at '18 hour' vs 'none' at '0 hour'	7.5	0.00033049114144757	23.2160565275313
ENSG00000073756	homo sapiens	E-GEOD-18791	'Newcastle disease virus' at '10 hour' vs 'none' at '0 hour'	7.5	0.000037660672688261	22.4830756411757
ENSG00000185745	homo sapiens	E-GEOD-18791	'Newcastle disease virus' at '6 hour' vs 'none' at '0 hour'	7.5	0.00065887089314299	13.489180431665
ENSG00000119922	homo sapiens	E-GEOD-18791	'Newcastle disease virus' at '18 hour' vs 'none' at '0 hour'	7.5	0.000295646966373877	26.5280139681484
ENSG00000185745	homo sapiens	E-GEOD-18791	'Newcastle disease virus' at '18 hour' vs 'none' at '0 hour'	7.5	0.00158174207069529	11.4051549295346
ENSG00000121858	homo sapiens	E-MEXP-1274	'Influenza A virus; dominant negative TLR3' vs 'none; dominant negative TLR3'	7.5	4.89910031396489e-7	23.6959776493914
ENSG00000134321	homo sapiens	E-GEOD-18791	'Newcastle disease virus' at '18 hour' vs 'none' at '0 hour'	7.4	0.000617479139814401	17.7324562611619
ENSG00000134321	homo sapiens	E-GEOD-18791	'Newcastle disease virus' at '6 hour' vs 'none' at '6 hour'	7.4	0.00103484396220517	11.9498671058772
ENSG00000135114	homo sapiens	E-GEOD-18791	'Newcastle disease virus' at '12 hour' vs 'none' at '0 hour'	7.4	0.0000620452157134558	19.5389107632803
ENSG00000121858	homo sapiens	E-GEOD-18791	'Newcastle disease virus' at '10 hour' vs 'none' at '10 hour'	7.4	0.0000723201997396365	18.2093310072906
ENSG00000121858	homo sapiens	E-GEOD-18791	'Newcastle disease virus' at '8 hour' vs 'none' at '0 hour'	7.4	0.000362639132822	16.6593056922718
ENSG00000134321	homo sapiens	E-GEOD-18791	'Newcastle disease virus' at '16 hour' vs 'none' at '0 hour'	7.4	0.0000969309654732702	18.9318999085239
ENSG00000121858	homo sapiens	E-GEOD-18791	'Newcastle disease virus' at '10 hour' vs 'none' at '10 hour'	7.4	0.0000220180677912518	26.4044274498459
ENSG00000134321	homo sapiens	E-GEOD-18791	'Newcastle disease virus' at '6 hour' vs 'none' at '0 hour'	7.4	0.000314064285486311	17.7635870907313
ENSG00000134321	homo sapiens	E-GEOD-18791	'Newcastle disease virus' at '10 hour' vs 'none' at '10 hour'	7.4	0.0000220180677912518	26.5649249417014
ENSG00000138755	homo sapiens	E-GEOD-18791	'Newcastle disease virus' at '10 hour' vs 'none' at '10 hour'	7.4	0.0000442945041304123	20.2205780015325
ENSG00000131203	homo sapiens	E-GEOD-18791	'Newcastle disease virus' at '10 hour' vs 'none' at '0 hour'	7.4	0.0000900690331779565	17.288594780556
ENSG00000185745	homo sapiens	E-GEOD-18791	'Newcastle disease virus' at '8 hour' vs 'none' at '0 hour'	7.4	0.000675116112557756	12.371333219658
ENSG00000234883	homo sapiens	E-GEOD-18791	'Newcastle disease virus' at '12 hour' vs 'none' at '0 hour'	7.4	0.0000992176616472532	17.1977270264739
ENSG00000271503	homo sapiens	E-GEOD-13637	'PR8 influenza virus' vs 'none' in 'wild type'	7.4	4.3462901792199e-8	31.4193558646921
ENSG00000119917	homo sapiens	E-GEOD-13637	'H5N1 influenza virus' vs 'none' in 'wild type'	7.4	7.10468715722341e-9	54.859791125025
ENSG00000185745	homo sapiens	E-GEOD-18791	'Newcastle disease virus' at '16 hour' vs 'none' at '0 hour'	7.4	0.000307624700471391	12.66401225697
ENSG00000271503	homo sapiens	E-GEOD-18791	'Newcastle disease virus' at '16 hour' vs 'none' at '0 hour'	7.4	0.000428174358777602	11.4269451514662
ENSG00000135114	homo sapiens	E-GEOD-18791	'Newcastle disease virus' at '14 hour' vs 'none' at '0 hour'	7.4	0.0000823451652091836	18.9720616684071
ENSG00000135114	homo sapiens	E-GEOD-18791	'Newcastle disease virus' at '16 hour' vs 'none' at '0 hour'	7.3	0.000103143049157077	18.4606526484941
ENSG00000137959	homo sapiens	E-GEOD-18791	'Newcastle disease virus' at '6 hour' vs 'none' at '0 hour'	7.3	0.000233266472154943	25.0777187612732
ENSG00000121858	homo sapiens	E-GEOD-18791	'Newcastle disease virus' at '8 hour' vs 'none' at '0 hour'	7.3	0.000512160553526628	13.2686752167314
ENSG00000121858	homo sapiens	E-GEOD-18791	'Newcastle disease virus' at '6 hour' vs 'none' at '6 hour'	7.3	0.0010240164342168	11.9932738727801
ENSG00000134321	homo sapiens	E-GEOD-18791	'Newcastle disease virus' at '14 hour' vs 'none' at '0 hour'	7.3	0.000106970468884519	16.9485796804375
ENSG00000121858	homo sapiens	E-GEOD-18791	'Newcastle disease virus' at '12 hour' vs 'none' at '0 hour'	7.3	0.000126026293031975	16.397268141175
ENSG00000131203	homo sapiens	E-GEOD-18791	'Newcastle disease virus' at '18 hour' vs 'none' at '0 hour'	7.3	0.00075035168109041	16.2441144339901
ENSG00000169245	homo sapiens	E-GEOD-18791	'Newcastle disease virus' at '4 hour' vs 'none' at '0 hour'	7.3	0.00660047892377286	9.09283956199336
ENSG00000172183	homo sapiens	E-GEOD-18791	'Newcastle disease virus' at '10 hour' vs 'none' at '0 hour'	7.3	0.000037660672688261	22.4878593058679
ENSG00000162614	homo sapiens	E-GEOD-18791	'Newcastle disease virus' at '12 hour' vs 'none' at '0 hour'	7.3	0.0000450654058078029	21.9740084800636
ENSG00000234883	homo sapiens	E-GEOD-18791	'Newcastle disease virus' at '14 hour' vs 'none' at '0 hour'	7.3	0.0000854696518496097	18.709183037154
ENSG00000119917	homo sapiens	E-GEOD-13637	'PR8 influenza virus' vs 'none' in 'wild type'	7.3	7.11486368138357e-9	42.4282731916177
ENSG00000119917	homo sapiens	E-GEOD-18791	'Newcastle disease virus' at '10 hour' vs 'none' at '10 hour'	7.3	0.0000543945111067415	19.6040982895038
ENSG00000119922	homo sapiens	E-GEOD-18791	'Newcastle disease virus' at '10 hour' vs 'none' at '10 hour'	7.3	0.00000495871114213392	36.6865876429696
ENSG00000119922	homo sapiens	E-GEOD-18791	'Newcastle disease virus' at '8 hour' vs 'none' at '0 hour'	7.3	0.000233755284689812	19.5253237697551
ENSG00000185745	homo sapiens	E-GEOD-18791	'Newcastle disease virus' at '14 hour' vs 'none' at '0 hour'	7.3	0.000323024681551197	11.5072909656145
